baseDate,baseTime,fcstDate,fcstTime,nx,ny,습도,강수량,기온,풍속
20230526,1730,20230526,1900,73,134,45,강수없음,24,2
20230526,1730,20230526,1900,73,135,50,강수없음,23,2
20230526,1730,20230526,1900,74,131,55,강수없음,23,2
20230526,1730,20230526,1900,72,132,60,강수없음,22,2
20230526,1730,20230526,1900,70,130,55,강수없음,22,1
20230526,1730,20230526,1900,72,134,50,강수없음,24,1
20230526,1730,20230526,1900,71,137,70,강수없음,22,1
20230526,1730,20230526,1900,75,136,60,강수없음,20,1
20230526,1730,20230526,1900,73,133,50,강수없음,24,2
20230526,1730,20230526,1900,71,132,55,강수없음,22,2
20230526,1730,20230526,1900,72,133,50,강수없음,23,2
20230526,1730,20230526,1900,76,122,45,강수없음,23,1
20230526,1730,20230526,1900,74,121,55,강수없음,22,2
20230526,1730,20230526,1900,78,124,45,강수없음,21,0
20230526,1730,20230526,1900,76,124,50,강수없음,22,2
20230526,1730,20230526,1900,75,122,50,강수없음,23,2
20230526,1730,20230526,1900,73,119,55,강수없음,23,1
20230526,1730,20230526,1900,76,118,60,강수없음,21,1
20230526,1730,20230526,1900,76,121,50,강수없음,23,1
20230526,1730,20230526,1900,78,121,55,강수없음,22,1
20230526,1730,20230526,1900,79,120,60,강수없음,20,2
20230526,1730,20230526,1900,77,122,50,강수없음,23,1
20230526,1730,20230526,1900,76,123,50,강수없음,23,2
20230526,1730,20230526,1900,77,123,50,강수없음,23,1
20230526,1730,20230526,1900,92,131,45,강수없음,24,1
20230526,1730,20230526,1900,91,134,70,강수없음,18,0
20230526,1730,20230526,1900,92,130,45,강수없음,22,0
20230526,1730,20230526,1900,94,131,55,강수없음,22,1
20230526,1730,20230526,1900,95,129,70,강수없음,19,1
20230526,1730,20230526,1900,92,133,50,강수없음,22,0
20230526,1730,20230526,1900,92,134,65,강수없음,20,1
20230526,1730,20230526,1900,93,132,50,강수없음,24,1
20230526,1730,20230526,1900,92,132,45,강수없음,24,0
20230526,1730,20230526,1900,93,131,50,강수없음,24,1
20230526,1730,20230526,1900,97,127,75,강수없음,17,0
20230526,1730,20230526,1900,97,126,75,강수없음,17,0
20230526,1730,20230526,1900,96,127,70,강수없음,18,0
20230526,1730,20230526,1900,96,126,65,강수없음,19,0
20230526,1730,20230526,1900,95,119,50,강수없음,21,0
20230526,1730,20230526,1900,94,118,45,강수없음,20,1
20230526,1730,20230526,1900,95,117,50,강수없음,20,1
20230526,1730,20230526,1900,96,118,55,강수없음,21,1
20230526,1730,20230526,1900,87,141,55,강수없음,21,1
20230526,1730,20230526,1900,87,140,60,강수없음,21,1
20230526,1730,20230526,1900,98,125,65,강수없음,21,2
20230526,1730,20230526,1900,96,120,55,강수없음,20,1
20230526,1730,20230526,1900,101,119,75,강수없음,19,0
20230526,1730,20230526,1900,99,124,60,강수없음,20,1
20230526,1730,20230526,1900,94,123,55,강수없음,20,1
20230526,1730,20230526,1900,98,123,65,강수없음,21,0
20230526,1730,20230526,1900,97,124,65,강수없음,21,0
20230526,1730,20230526,1900,98,119,60,강수없음,21,1
20230526,1730,20230526,1900,96,123,60,강수없음,22,1
20230526,1730,20230526,1900,97,125,65,강수없음,20,1
20230526,1730,20230526,1900,75,130,45,강수없음,22,2
20230526,1730,20230526,1900,77,131,50,강수없음,21,3
20230526,1730,20230526,1900,78,134,60,강수없음,21,1
20230526,1730,20230526,1900,79,132,60,강수없음,21,1
20230526,1730,20230526,1900,81,130,65,강수없음,19,2
20230526,1730,20230526,1900,76,129,55,강수없음,21,2
20230526,1730,20230526,1900,73,128,65,강수없음,21,2
20230526,1730,20230526,1900,72,129,70,강수없음,21,2
20230526,1730,20230526,1900,84,132,60,강수없음,19,1
20230526,1730,20230526,1900,77,125,45,강수없음,22,2
20230526,1730,20230526,1900,79,125,60,강수없음,22,0
20230526,1730,20230526,1900,80,124,60,강수없음,19,1
20230526,1730,20230526,1900,81,126,60,강수없음,19,2
20230526,1730,20230526,1900,79,127,55,강수없음,21,2
20230526,1730,20230526,1900,80,127,55,강수없음,20,2
20230526,1730,20230526,1900,77,126,45,강수없음,23,2
20230526,1730,20230526,1900,75,125,50,강수없음,21,2
20230526,1730,20230526,1900,80,123,60,강수없음,20,1
20230526,1730,20230526,1900,86,119,45,강수없음,23,2
20230526,1730,20230526,1900,92,118,55,강수없음,20,2
20230526,1730,20230526,1900,89,118,55,강수없음,21,2
20230526,1730,20230526,1900,88,118,50,강수없음,22,2
20230526,1730,20230526,1900,85,120,50,강수없음,22,1
20230526,1730,20230526,1900,85,119,45,강수없음,23,1
20230526,1730,20230526,1900,83,120,50,강수없음,22,1
20230526,1730,20230526,1900,82,121,55,강수없음,22,1
20230526,1730,20230526,1900,84,123,45,강수없음,21,2
20230526,1730,20230526,1900,86,122,45,강수없음,22,0
20230526,1730,20230526,1900,84,124,50,강수없음,21,1
20230526,1730,20230526,1900,85,126,45,강수없음,19,1
20230526,1730,20230526,1900,84,128,50,강수없음,19,2
20230526,1730,20230526,1900,85,128,55,강수없음,19,1
20230526,1730,20230526,1900,87,129,60,강수없음,20,1
20230526,1730,20230526,1900,89,130,60,강수없음,19,2
20230526,1730,20230526,1900,89,123,45,강수없음,22,1
20230526,1730,20230526,1900,92,120,50,강수없음,20,3
20230526,1730,20230526,1900,89,120,50,강수없음,21,2
20230526,1730,20230526,1900,90,121,50,강수없음,21,2
20230526,1730,20230526,1900,89,125,50,강수없음,22,2
20230526,1730,20230526,1900,92,126,60,강수없음,20,2
20230526,1730,20230526,1900,91,123,55,강수없음,21,1
20230526,1730,20230526,1900,90,125,55,강수없음,21,1
20230526,1730,20230526,1900,65,139,55,강수없음,22,1
20230526,1730,20230526,1900,64,141,60,강수없음,21,2
20230526,1730,20230526,1900,67,142,70,강수없음,18,1
20230526,1730,20230526,1900,67,140,65,강수없음,17,1
20230526,1730,20230526,1900,68,141,75,강수없음,16,2
20230526,1730,20230526,1900,67,143,70,강수없음,18,1
20230526,1730,20230526,1900,69,143,70,강수없음,19,3
20230526,1730,20230526,1900,73,143,55,강수없음,18,2
20230526,1730,20230526,1900,71,143,70,강수없음,18,2
20230526,1730,20230526,1900,75,143,65,강수없음,15,2
20230526,1730,20230526,1900,72,139,70,강수없음,21,2
20230526,1730,20230526,1900,74,137,60,강수없음,21,1
20230526,1730,20230526,1900,71,138,75,강수없음,21,2
20230526,1730,20230526,1900,71,140,80,강수없음,19,1
20230526,1730,20230526,1900,69,138,85,강수없음,18,1
20230526,1730,20230526,1900,77,139,50,강수없음,21,2
20230526,1730,20230526,1900,78,139,55,강수없음,21,2
20230526,1730,20230526,1900,78,141,55,강수없음,21,2
20230526,1730,20230526,1900,76,141,60,강수없음,20,0
20230526,1730,20230526,1900,79,143,60,강수없음,18,3
20230526,1730,20230526,1900,80,138,50,강수없음,22,2
20230526,1730,20230526,1900,79,136,55,강수없음,21,1
20230526,1730,20230526,1900,81,139,50,강수없음,22,2
20230526,1730,20230526,1900,83,136,55,강수없음,20,2
20230526,1730,20230526,1900,81,141,65,강수없음,20,2
20230526,1730,20230526,1900,82,134,55,강수없음,20,1
20230526,1730,20230526,1900,85,145,60,강수없음,22,4
20230526,1730,20230526,1900,85,146,60,강수없음,20,3
20230526,1730,20230526,1900,84,147,75,강수없음,17,2
20230526,1730,20230526,1900,86,144,50,강수없음,22,3
20230526,1730,20230526,1900,87,142,50,강수없음,21,2
20230526,1730,20230526,1900,82,146,70,강수없음,15,1
20230526,1730,20230526,1900,88,138,60,강수없음,21,2
20230526,1730,20230526,1900,87,138,50,강수없음,23,2
20230526,1730,20230526,1900,89,137,75,강수없음,19,2
20230526,1730,20230526,1900,90,136,80,강수없음,18,2
